target_id,description,frozen_value,reconstructed_value,method,status,source_paths,notes
registry_output_hashes,sha256 of every registered output file of the seven audited events,26 registered digests,26/26 files match,hash_verified_artifact_field,byte_identical,/content/labs/interpretability/jspace_gemma/reports/evidence_events.jsonl,all registered outputs resolve byte-identically on Drive/repo
s1_n_rows,Stage-1 n_rows over the 1120-row grid,1120,1120,recomputed_from_registered_rows_frozen_code,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/gemma_transport_20260802/metrics/gemma_target/gm-jvp-gemma-stage1-v1/gemma_stage1_rows.parquet,
s1_n_faithful_delivery,Stage-1 n_faithful_delivery over the 1120-row grid,538,538,recomputed_from_registered_rows_frozen_code,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/gemma_transport_20260802/metrics/gemma_target/gm-jvp-gemma-stage1-v1/gemma_stage1_rows.parquet,
s1_n_measurement_evaluable,Stage-1 n_measurement_evaluable over the 1120-row grid,508,508,recomputed_from_registered_rows_frozen_code,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/gemma_transport_20260802/metrics/gemma_target/gm-jvp-gemma-stage1-v1/gemma_stage1_rows.parquet,
s1_n_primary_snr_evaluable,Stage-1 n_primary_snr_evaluable over the 1120-row grid,477,477,recomputed_from_registered_rows_frozen_code,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/gemma_transport_20260802/metrics/gemma_target/gm-jvp-gemma-stage1-v1/gemma_stage1_rows.parquet,
s1_L22_decision,Stage-1 frozen classifier decision at layer 22,local_tangent_mismatch,local_tangent_mismatch,recomputed_from_registered_rows_frozen_code,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/gemma_transport_20260802/metrics/gemma_target/gm-jvp-gemma-stage1-v1/gemma_stage1_rows.parquet,"smallest_pass 0/12, declared_dose_pass 0/12; full decision record byte-identical"
s1_L30_decision,Stage-1 frozen classifier decision at layer 30,local_tangent_mismatch,local_tangent_mismatch,recomputed_from_registered_rows_frozen_code,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/gemma_transport_20260802/metrics/gemma_target/gm-jvp-gemma-stage1-v1/gemma_stage1_rows.parquet,"smallest_pass 0/13, declared_dose_pass 0/12; full decision record byte-identical"
s1_L37_decision,Stage-1 frozen classifier decision at layer 37,local_tangent_mismatch,local_tangent_mismatch,recomputed_from_registered_rows_frozen_code,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/gemma_transport_20260802/metrics/gemma_target/gm-jvp-gemma-stage1-v1/gemma_stage1_rows.parquet,"smallest_pass 0/12, declared_dose_pass 0/12; full decision record byte-identical"
s1_L44_decision,Stage-1 frozen classifier decision at layer 44,local_tangent_mismatch,local_tangent_mismatch,recomputed_from_registered_rows_frozen_code,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/gemma_transport_20260802/metrics/gemma_target/gm-jvp-gemma-stage1-v1/gemma_stage1_rows.parquet,"smallest_pass 0/13, declared_dose_pass 0/12; full decision record byte-identical"
s1_L52_decision,Stage-1 frozen classifier decision at layer 52,local_tangent_mismatch,local_tangent_mismatch,recomputed_from_registered_rows_frozen_code,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/gemma_transport_20260802/metrics/gemma_target/gm-jvp-gemma-stage1-v1/gemma_stage1_rows.parquet,"smallest_pass 1/14, declared_dose_pass 0/12; full decision record byte-identical"
s1_pass_counts_independent,"smallest-primary and declared-dose (n, n_pass) per layer L22..L52, independent pandas re-implementation","{22: (12, 0, 12, 0), 30: (13, 0, 12, 0), 37: (12, 0, 12, 0), 44: (13, 0, 12, 0), 52: (14, 1, 12, 0)}","{22: (12, 0, 12, 0), 30: (13, 0, 12, 0), 37: (12, 0, 12, 0), 44: (13, 0, 12, 0), 52: (14, 1, 12, 0)}",recomputed_from_registered_rows_independent,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/gemma_transport_20260802/metrics/gemma_target/gm-jvp-gemma-stage1-v1/gemma_stage1_rows.parquet,"gate: cos>=0.98, rel_err<=0.20, central<=0.10; SNR>=20; faithful delivery"
s1_smallest_evaluable_replay,smallest_primary_single selection (64 rows) vs frozen gemma_stage1_smallest_evaluable.parquet,64 rows,64 rows,recomputed_from_registered_rows_frozen_code,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/gemma_transport_20260802/metrics/gemma_target/gm-jvp-gemma-stage1-v1/gemma_stage1_smallest_evaluable.parquet,row-for-row equality of selection keys and metric values
