item_id,scenario_id,validator_id,passed,detail
ar-ar_docsection_readme-i0-ar-o0-ll-c0-fe-01ca8eb529f1,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i0-ar-o0-ll-c1-fe-314427606405,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i0-ar-o0-ln-c0-fe-bdbd741bc831,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i0-ar-o0-ln-c1-fe-34b9af83cd81,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i0-ar-o1-ll-c0-fe-96af01b7b9d0,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i0-ar-o1-ll-c1-fe-3ccec6640965,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i0-ar-o1-ln-c0-fe-1f57358802c9,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i0-ar-o1-ln-c1-fe-2d6645fe6893,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i1-ar-o0-ll-c0-fe-320d1ead41a6,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i1-ar-o0-ll-c1-fe-b28d60470a3c,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i1-ar-o0-ln-c0-fe-485bb101110a,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i1-ar-o0-ln-c1-fe-8196c6dca5b0,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i1-ar-o1-ll-c0-fe-fe35bc2427d1,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i1-ar-o1-ll-c1-fe-7f20af2abfa1,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i1-ar-o1-ln-c0-fe-2f070523da05,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i1-ar-o1-ln-c1-fe-7994c5aad430,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i2-ar-o0-ll-c0-fe-3abed8297c11,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i2-ar-o0-ll-c1-fe-1eafc4ed6a48,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i2-ar-o0-ln-c0-fe-8eac59e75b1c,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i2-ar-o0-ln-c1-fe-136ac0fa02be,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i2-ar-o1-ll-c0-fe-97b671fbe304,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
ar-ar_docsection_readme-i2-ar-o1-ll-c1-fe-f739c97da748,ar_docsection_readme,v_doc_heading,0,starts_with_want=True other_present=True
